name,gs_email,as_chair,as_pc,as_author,papers
"Arpaci-Dusseau, Remzi",@cs.wisc.edu,0,2,5,"FAST_17_011,FAST_17_013,VEE_17_009,EuroSys_17_011,HPDC_17_003"
"Arroyo-Paredes, Yulissa",,0,0,1,OOPSLA_17_014
"Arshad, Sajjad",@ccs.neu.edu,0,0,1,NDSS_17_010
"Arshad, Sheheryar",,0,0,1,IGSC_17_018
"Arslan, Engin",@illinois.edu,0,1,0,
"Arteaga, Jaime",@udel.edu,0,0,1,IPDPS_17_079
"Arteca, Ellen",@uwaterloo.ca,0,0,1,OOPSLA_17_055
"Arulraj, Joy",@cs.cmu.edu,0,0,1,CIDR_17_014
"Arulraj, Leo",@cs.wisc.edu,0,0,1,VEE_17_009
"Arumaithurai, Mayutan",@cs.uni-goettingen.de,0,0,1,SIGCOMM_17_035
"Arumugam, Kamesh",,0,0,1,ICPP_17_047
"Arun, Venkat",@unh.newhaven.edu,0,0,1,SIGCOMM_17_016
"Arunkumar, Akhil",@asu.edu,0,0,2,"ISCA_17_025,MICRO_17_011"
"Arvind, ",@mit.edu,0,0,1,PACT_17_020
"Asaad, Sameh",,0,0,1,MICRO_17_003
"Asadi, Hossein",@sharif.edu,0,1,0,
"Asanoviç, Krste",@eecs.berkeley.edu,0,1,2,"HotOS_17_013,IPDPS_17_081"
"Asenjo, Rafael",@uma.es,0,1,1,EuroPar_17_015
"Asgari, Bahar",@gatech.edu,0,0,1,IISWC_17_007
"Ashraf, Imran",@tudelft.nl,0,0,1,MICRO_17_061
"Ashraf, Mohammed",,0,0,1,CCS_17_100
"Asipov, Boris",,0,0,1,CIDR_17_018
"Askarov, Aslan",@cs.au.dk,0,0,1,SP_17_014
"Aslam, Javed",@ccs.neu.edu,0,1,0,
"Aslantas, Cansu",,0,0,1,CIDR_17_001
"Asokan, N.",@aalto.fi,0,0,1,CCS_17_039
"Asplund, Joshua",,0,0,1,SC_17_004
"Aspnes, James",@cs.yale.edu,0,0,1,PODC_17_037
"Assadi, Sepehr",@seas.upenn.edu,0,0,2,"PODS_17_024,SPAA_17_025"
"Assasa, Hany",@imdea.org,0,0,1,CoNEXT_17_031
"Assent, Ira",@cs.au.dk,0,2,1,SIGMOD_17_044
"Assouline, Jonathan",@algolux.com,0,0,1,MICRO_17_006
"Assuncao, Renato",@dcc.ufmg.br,0,1,0,
"Asudeh, Abolfazl",@mavs.uta.edu,0,0,1,SIGMOD_17_014
"Ataei, Parisa",@oregonstate.edu,0,0,1,SIGMOD_17_005
"Atasu, Kubilay",@zurich.ibm.com,0,0,1,ICPP_17_038
"Ateniese, Giuseppe",@stevens.edu,0,0,1,CCS_17_038
"Ates, Emre",@bu.edu,0,0,1,ISC_17_019
"Athanasopoulos, Elias",@cs.ucy.ac.cy,0,1,2,"NDSS_17_039,EuroSys_17_038"
"Athanassoulis, Manos",@seas.harvard.edu,0,0,2,"SIGMOD_17_088,SIGMOD_17_093"
"Atif, Jamal",,0,0,1,ICDM_17_055
"Atig, Mohamed Faouzi",@it.uu.se,0,0,1,PLDI_17_019
"Atreya, Kishore",,0,0,1,ASPLOS_17_054
"Attariyan, Mona",,0,2,0,
"Attiya, Hagit",@cs.technion.ac.il,0,1,0,
"Atya, Ahmed O. F.",@cs.ucr.edu,0,0,1,CoNEXT_17_026
"Atzmueller, Martin",@uvt.nl,0,1,0,
"Aublin, Pierre-Louis",,0,0,1,ATC_17_022
"Auerbach, Joshua",@champlain.edu,0,0,1,SIGMOD_17_043
"Auguilera, Marcos K.",@vmware.com,0,0,1,ASPLOS_17_015
"August, David I.",@princeton.edu,0,0,1,PACT_17_025
"Augusto, Adriano",@ut.ee,0,0,1,ICDM_17_034
"Aumage, Olivier",,0,1,2,"CCGrid_17_059,EuroPar_17_014"
"Aupy, Guillaume",@inria.fr,0,2,2,"IPDPS_17_075,EuroPar_17_042"
"Aura, Tuomas",@aalto.fi,0,0,1,CCGrid_17_016
"Ausavarungnirun, Rachata",@cmu.edu,0,0,2,"SIGMETRICS_17_013,MICRO_17_013"
"Austin, Brian",,0,0,1,SC_17_014
"Austin, Todd",@umich.edu,0,0,2,"HPCA_17_022,ISCA_17_007"
"Avancha, Sasikanth",,0,0,1,ISCA_17_002
